metro,state,institutional_share_sfr_pct,year,source,notes
Jacksonville,FL,22,2024,GAO-2026,Share of SFR market held by institutional investors; up from 7% in 2018
Jacksonville,FL,7,2018,GAO-2026,Same metro comparison point
Atlanta,GA,25,2022,GAO-24-106643 / Urban,Illustrative top-MSA concentration (~25% of SFR)
Charlotte,NC,18,2022,GAO-24-106643,Selected metro from GAO figure
Phoenix,AZ,16,2022,GAO-24-106643,Selected metro from GAO figure
National,US,3.8,2022,Urban Institute 2023,574k of 15.1M one-unit rentals (>=100 homes)
