year,share_pct,source,estimated,notes
2005,0.0,GAO-24-106643; see sfr_institutional_share_extended.csv,true,Pre-2012 large institutional SFR stock ~0%
2010,0.0,GAO-24-106643; see sfr_institutional_share_extended.csv,true,Pre-2012 large institutional SFR stock ~0%
2011,0.0,GAO-24-106643,false,No investor owned 1000+ SFR homes as of late 2011
2015,1.5,GAO-24-106643,true,Midpoint of ~1-2% share from 170000-300000 homes
2018,2.51,sfr_institutional_share_extended.csv (interpolated),true,Linear interp 2015-2022; full series in extended file
2022,3.8,Urban Institute 2023,false,574000 of 15.1 million US SFR homes (>=100 homes)
2024,4.2,sfr_institutional_share_extended.csv (extrapolated),true,See DATA_SOURCES.md for metro vs national caveats
